白酒制造,"","",1512
啤酒制造,"","",1513
黄酒制造,"","",1514
葡萄酒制造,"","",1515
其他酒制造,"","",1519
饮料制造,"",152,""
碳酸饮料制造,"","",1521
瓶（罐）装饮用水制造,"","",1522
果菜汁及果菜汁饮料制造,"","",1523
含乳饮料和植物蛋白饮料制造,"","",1524
固体饮料制造,"","",1525
茶饮料及其他饮料制造,"","",1529
精制茶加工,"",153,1530
烟草制品业,16,"",""
烟叶复烤,"",161,1610
卷烟制造,"",162,1620
其他烟草制品制造,"",169,1690
纺织业,17,"",""
棉纺织及印染精加工,"",171,""
棉纺纱加工,"","",1711
棉织造加工,"","",1712
棉印染精加工,"","",1713
毛纺织及染整精加工,"",172,""
毛条和毛纱线加工,"","",1721
毛织造加工,"","",1722
毛染整精加工,"","",1723
麻纺织及染整精加工,"",173,""
麻纤维纺前加工和纺纱,"","",1731
麻织造加工,"","",1732
麻染整精加工,"","",1733
丝绢纺织及印染精加工,"",174,""
缫丝加工,"","",1741
绢纺和丝织加工,"","",1742
丝印染精加工,"","",1743
化纤织造加工,"","",1751
化纤织物染整精加工,"","",1752
针织或钩针编织物及其制品制造,"",176,""
针织或钩针编织物织造,"","",1761
针织或钩针编织物印染精加工,"","",1762
针织或钩针编织品制造,"","",1763
家用纺织制成品制造,"",177,""
床上用品制造,"","",1771
毛巾类制品制造,"","",1772
窗帘、布艺类产品制造,"","",1773
其他家用纺织制成品制造,"","",1779
非家用纺织制成品制造,"",178,""
非织造布制造,"","",1781
绳、索、缆制造,"","",1782
纺织带和帘子布制造,"","",1783
篷、帆布制造,"","",1784
其他非家用纺织制成品制造,"","",1789
纺织服装、服饰业,18,"",""
机织服装制造,"",181,1810
针织或钩针编织服装制造,"",182,1820
服饰制造,"",183,1830
皮革、毛皮、羽毛及其制品和制鞋业,19,"",""
皮革鞣制加工,"",191,1910
皮革制品制造,"",192,""
皮革服装制造,"","",1921
皮箱、包（袋）制造,"","",1922
皮手套及皮装饰制品制造,"","",1923
其他皮革制品制造,"","",1929
毛皮鞣制及制品加工,"",193,""
毛皮鞣制加工,"","",1931
毛皮服装加工,"","",1932
其他毛皮制品加工,"","",1939
羽毛(绒)加工及制品制造,"",194,""
羽毛（绒）加工,"","",1941
羽毛（绒）制品加工,"","",1942
制鞋业,"",195,""
纺织面料鞋制造,"","",1951
皮鞋制造,"","",1952
塑料鞋制造,"","",1953
橡胶鞋制造,"","",1954
其他制鞋业,"","",1959
木材加工和木、竹、藤、棕、草制品业,20,"",""
木材加工,"",201,""
文教办公用品制造,"",241,""
文具制造,"","",2411
锯材加工,"","",2011
木片加工,"","",2012
单板加工,"","",2013
其他木材加工,"","",2019
人造板制造,"",202,""
胶合板制造,"","",2021
纤维板制造,"","",2022
刨花板制造,"","",2023
其他人造板制造,"","",2029
木制品制造,"",203,""
建筑用木料及木材组件加工,"","",2031
木门窗、楼梯制造,"","",2032
地板制造,"","",2033
木制容器制造,"","",2034
软木制品及其他木制品制造,"","",2039
竹、藤、棕、草等制品制造,"",204,""
竹制品制造,"","",2041
藤制品制造,"","",2042
棕制品制造,"","",2043
草及其他制品制造,"","",2049
家具制造业,21,"",""
木质家具制造,"",211,2110
竹、藤家具制造,"",212,2120
金属家具制造,"",213,2130
塑料家具制造,"",214,2140
其他家具制造,"",219,2190
造纸和纸制品业,22,"",""
纸浆制造,"",221,""
木竹浆制造,"","",2211
非木竹浆制造,"","",2212
造纸,"",222,""
机制纸及纸板制造,"","",2221
手工纸制造,"","",2222
加工纸制造,"","",2223
纸制品制造,"",223,""
纸和纸板容器制造,"","",2231
其他纸制品制造,"","",2239
印刷和记录媒介复制业,23,"",""
印刷,"",231,""
书、报刊印刷,"","",2311
本册印制,"","",2312
包装装潢及其他印刷,"","",2319
装订及印刷相关服务,"",232,2320
记录媒介复制,"",233,2330
文教、工美、体育和娱乐用品制造业,24,"",""
笔的制造,"","",2412
教学用模型及教具制造,"","",2413
墨水、墨汁制造,"","",2414
其他文教办公用品制造,"","",2419
乐器制造,"",242,""
中乐器制造,"","",2421
西乐器制造,"","",2422
电子乐器制造,"","",2423
其他乐器及零件制造,"","",2429
工艺美术品制造,"",243,""
雕塑工艺品制造,"","",2431
金属工艺品制造,"","",2432
漆器工艺品制造,"","",2433
花画工艺品制造,"","",2434
天然植物纤维编织工艺品制造,"","",2435
抽纱刺绣工艺品制造,"","",2436
地毯、挂毯制造,"","",2437
珠宝首饰及有关物品制造,"","",2438
其他工艺美术品制造,"","",2439
体育用品制造,"",244,""
球类制造,"","",2441
体育器材及配件制造,"","",2442
训练健身器材制造,"","",2443
运动防护用具制造,"","",2444
其他体育用品制造,"","",2449
玩具制造,"",245,2450
游艺器材及娱乐用品制造,"",246,""
露天游乐场所游乐设备制造,"","",2461
游艺用品及室内游艺器材制造,"","",2462
其他娱乐用品制造,"","",2469
石油加工、炼焦和核燃料加工业,25,"",""
精炼石油产品制造,"",251,""
原油加工及石油制品制造,"","",2511
人造原油制造,"","",2512
炼焦,"",252,2520
核燃料加工,"",253,2530
化学原料和化学制品制造业,26,"",""
基础化学原料制造,"",261,""
无机酸制造,"","",2611
无机碱制造,"","",2612
无机盐制造,"","",2613
有机化学原料制造,"","",2614
其他基础化学原料制造,"","",2619
肥料制造,"",262,""
氮肥制造,"","",2621
磷肥制造,"","",2622
钾肥制造,"","",2623
复混肥料制造,"","",2624
有机肥料及微生物肥料制造,"","",2625
其他肥料制造,"","",2629
农药制造,"",263,""
化学农药制造,"","",2631
生物化学农药及微生物农药制造,"","",2632
涂料、油墨、颜料及类似产品制造,"",264,""
涂料制造,"","",2641
油墨及类似产品制造,"","",2642
颜料制造,"","",2643
染料制造,"","",2644
密封用填料及类似品制造,"","",2645
合成材料制造,"",265,""
初级形态塑料及合成树脂制造,"","",2651
合成橡胶制造,"","",2652
合成纤维单（聚合）体制造,"","",2653
其他合成材料制造,"","",2659
专用化学产品制造,"",266,""
化学试剂和助剂制造,"","",2661
专项化学用品制造,"","",2662
林产化学产品制造,"","",2663
信息化学品制造,"","",2664
环境污染处理专用药剂材料制造,"","",2665
动物胶制造,"","",2666
其他专用化学产品制造,"","",2669
炸药、火工及焰火产品制造,"",267,""
炸药及火工产品制造,"","",2671
焰火、鞭炮产品制造,"","",2672
日用化学产品制造,"",268,""
肥皂及合成洗涤剂制造,"","",2681
化妆品制造,"","",2682
口腔清洁用品制造,"","",2683
香料、香精制造,"","",2684
其他日用化学产品制造,"","",2689
医药制造业,27,"",""
化学药品原料药制造,"",271,2710
化学药品制剂制造,"",272,2720
中药饮片加工,"",273,2730
中成药生产,"",274,2740
兽用药品制造,"",275,2750
稀土金属冶炼,"","",3232
生物药品制造,"",276,2760
卫生材料及医药用品制造,"",277,2770
化学纤维制造业,28,"",""
纤维素纤维原料及纤维制造,"",281,""
化纤浆粕制造,"","",2811
人造纤维（纤维素纤维）制造,"","",2812
合成纤维制造,"",282,""
锦纶纤维制造,"","",2821
涤纶纤维制造,"","",2822
腈纶纤维制造,"","",2823
维纶纤维制造,"","",2824
丙纶纤维制造,"","",2825
氨纶纤维制造,"","",2826
其他合成纤维制造,"","",2829
橡胶和塑料制品业,29,"",""
橡胶制品业,"",291,""
轮胎制造,"","",2911
橡胶板、管、带制造,"","",2912
橡胶零件制造,"","",2913
再生橡胶制造,"","",2914
日用及医用橡胶制品制造,"","",2915
其他橡胶制品制造,"","",2919
塑料制品业,"",292,""
塑料薄膜制造,"","",2921
塑料板、管、型材制造,"","",2922
塑料丝、绳及编织品制造,"","",2923
泡沫塑料制造,"","",2924
塑料人造革、合成革制造,"","",2925
